,Customer ID,Customer Name,Segment,City,Delivery,Payment,Application Experience,Website Experience,Customer_Care Service,Return/Exchange
89,EN-0090,Miller Allen,Consumer,Dublin,3,1,3,2,1,3
90,IS-0091,Riley Davis,Corporate,Tralee,2,1,1,3,3,1
91,LL-0092,Mcclain O'Donnell,Corporate,Galway,1,1,3,3,3,1
92,EN-0093,Gardner Craven,Consumer,Ros Comain,2,1,3,3,3,2
93,DE-0094,Fletcher Gnade,Corporate,Tullamore,3,3,1,3,3,3
94,ER-0095,Elliott Deggeller,Consumer,Carrick on Shannon,2,1,3,1,2,3
95,ON-0096,Stokes Knudson,Consumer,Swords,2,2,3,3,2,3
96,ON-0097,Hatfield Trafton,Consumer,Wicklow,3,2,2,1,2,3
97,ND-0098,Henry Chand,Consumer,Carrick on Shannon,2,2,1,1,3,2
98,ND-0099,York Redmond,Home Office,An Cabhan,1,1,1,2,1,3
99,CK-00100,Rivera Black,Consumer,WexfordLongford,1,3,1,2,2,2
100,RN-00101,Cook Bern,Consumer,Carlow,3,2,3,1,3,3
101,LL-00102,Marshall Carroll,Consumer,Cork,2,2,2,2,2,3
102,SE-00103,Blankenship Reese,Consumer,An Cabhan,1,2,1,2,3,2
103,LO-00104,Sanford Zydlo,Corporate,Naas,1,2,1,2,1,1
104,EN-00105,Sexton Sorensen,Consumer,Carrick on Shannon,2,3,1,3,2,1
105,ER-00106,Coleman Bremer,Consumer,Limerick,3,1,1,2,2,3
106,TZ-00107,Maxwell Katz,Consumer,Kilkenny,2,1,3,1,2,1
107,IN-00108,Love Grinstein,Consumer,Monaghan,3,3,1,2,1,1
108,AS-00109,Porter Cazamias,Consumer,Dun Dealgan,3,1,2,3,2,1
109,NE-00110,Cobb Kane,Consumer,Carrick on Shannon,3,2,2,2,1,3
110,ER-00111,Russo Webber,Consumer,Nenagh,3,2,1,2,2,3
111,LL-00112,Hancock O'Brill,Consumer,Sligo,1,2,3,2,2,1
112,SH-00113,Bond Overcash,Consumer,Clonmel,2,3,1,3,1,2
113,PO-00114,Graham Cacioppo,Home Office,WexfordLongford,3,1,1,2,1,2
114,ZO-00115,Fox D'Ascenzo,Home Office,Cork,1,3,3,3,3,3
115,CK-00116,Barnett Garverick,Home Office,Mullingar,3,1,1,2,3,2
116,EN-00117,Gardner Craven,Consumer,Tullamore,3,3,2,1,1,3
117,RI-00118,Ayala Molinari,Consumer,Galway,2,1,3,1,2,3
118,IS-00119,Parrish Preis,Home Office,Dun Dealgan,3,2,3,2,2,1
119,LL-00120,Dominguez Norvell,Consumer,Carrick on Shannon,2,3,3,2,3,2
120,OS-00121,Browning Staavos,Corporate,Ennis,2,1,1,3,3,3
121,LL-00122,Gibson Carroll,Consumer,Ennis,2,2,2,3,2,3
122,IS-00123,Saunders Kotsonis,Consumer,Ros Comain,3,3,3,3,3,2
123,ST-00124,Bullock Prost,Consumer,Blackrock,3,1,2,2,1,1
124,RK-00125,Holmes Clark,Corporate,Port Laoise,1,1,1,3,2,1
125,ER-00126,Murphy Bierner,Consumer,Ennis,3,2,2,2,3,1
126,RR-00127,Peters Derr,Corporate,Dun Dealgan,3,3,1,3,1,3
127,WE-00128,Gillespie Zewe,Consumer,Monaghan,3,3,2,2,3,3
128,AM-00129,Watkins Cunningham,Corporate,Cork,2,1,2,1,2,3
129,ON-00130,James Bolton,Consumer,Lifford,1,2,3,3,2,3
130,EN-00131,Hebert Wooten,Home Office,Mullingar,2,2,1,1,1,1
131,DT-00132,Rojas Schmidt,,Waterford,3,2,2,3,1,3
132,ON-00133,Bean Thompson,Corporate,Blackrock,3,2,1,1,2,3
133,EN-00134,Schneider Hansen,Corporate,Clonmel,1,3,1,1,3,3
134,TT-00135,Martinez Arnett,Corporate,Tralee,2,3,3,1,2,1
135,UE-00136,Snow Pardue,Consumer,Limerick,2,1,3,2,3,3
136,LS-00137,Bradley Daniels,Corporate,Sligo,2,2,1,3,1,2
137,KY-00138,Cantu Zandusky,Corporate,Dun Dealgan,3,3,3,1,2,2
138,TZ-00139,Maxwell Katz,Consumer,Sligo,2,3,3,1,2,1
139,ER-00140,Mills Collister,Consumer,Trim,2,3,1,3,1,1
140,CH-00141,Johnston Ducich,Consumer,Clonmel,1,2,2,3,1,2
141,LE-00142,Owens Carlisle,Consumer,Carrick on Shannon,2,1,2,1,2,1
142,EY-00143,Robertson Coakley,Consumer,Nenagh,3,3,1,3,2,2
143,NI-00144,Arnold Crestani,Consumer,Ros Comain,2,2,2,3,3,3
144,CK-00145,Nicholson Murdock,Consumer,Mullingar,1,3,1,3,1,1
145,NG-00146,Shaw Chung,Consumer,Tallaght,2,2,2,1,2,3
146,OE-00147,Francis Jarboe,Consumer,Dublin,3,1,1,3,2,2
147,RE-00148,Jefferson Macintyre,Consumer,Tullamore,1,1,3,2,1,2
148,LE-00149,Jordan Carlisle,Corporate,Nenagh,1,3,1,2,2,3
149,PO-00150,Gallagher Ocampo,Corporate,Sligo,1,2,3,3,1,3
150,ER-00151,Marks Schneider,Home Office,Drogheda,1,3,1,1,1,1
151,LS-00152,Andrews Daniels,Corporate,Dublin,3,1,1,3,1,1
152,ER-00153,Coleman Bremer,Consumer,Dublin,2,1,1,2,3,2
153,DT-00154,Serrano Schmidt,Consumer,Tullamore,1,2,2,1,1,1
154,TT-00155,Hess Prescott,Home Office,Dublin,3,2,3,2,2,2
155,ON-00156,Nash Melton,Home Office,Blackrock,2,3,1,3,3,1
156,AK-00157,Wyatt Pak,Home Office,Dunleary,1,1,2,3,2,3
157,LE-00158,Brady Lonsdale,Consumer,Dublin,1,1,1,3,1,1
158,AN-00159,Blevins Thurman,Consumer,Dublin,2,2,1,2,3,2
159,DE-00160,Allison Meade,Corporate,Dublin,2,3,3,1,3,2
160,ER-00161,Montoya Ritter,Corporate,Waterford,2,2,3,3,2,1
161,DY-00162,Lindsey Kennedy,Corporate,Clonmel,1,1,3,3,3,3
162,RI-00163,Clay Molinari,Home Office,Nenagh,2,2,3,3,1,3
163,KE-00164,Holt Glocke,Corporate,Mullingar,3,3,2,1,1,3
164,TH-00165,Ayers Smith,Home Office,Sligo,2,2,1,1,3,2
165,NS-00166,Vega Hopkins,Corporate,Waterford,2,2,3,1,2,2
166,KY-00167,Cantu Zandusky,Corporate,Drogheda,3,2,2,2,1,3
167,AN-00168,Haley Wasserman,Consumer,Ros Comain,1,3,3,3,1,2
168,IS-00169,Lester Preis,Home Office,Sligo,1,2,1,2,1,3
169,AN-00170,Mason Chapman,Consumer,Dunleary,3,2,3,2,3,3
170,AN-00171,Savage Phan,Consumer,Dublin,1,1,3,1,3,3
171,HY-00172,Mathis Mccarthy,Consumer,Sligo,1,3,3,2,1,3
172,SS-00173,Austin Demoss,Home Office,Trim,3,3,1,2,1,2
173,EN-00174,Hale Goldenen,Consumer,Monaghan,2,1,2,1,3,1
174,EN-00175,Duncan Dahlen,Home Office,Kilkenny,3,2,3,3,1,3
175,NS-00176,Vega Hopkins,Corporate,Cork,3,3,2,3,1,3
176,EN-00177,Sexton Sorensen,Consumer,Naas,1,3,1,2,2,3
177,RY-00178,Houston Leatherbury,Consumer,Mullingar,3,3,2,1,3,2
178,LL-00179,Giles Turnell,Consumer,Mullingar,3,3,1,1,1,2
179,LL-00180,Boone Maxwell,Corporate,Limerick,2,2,2,3,1,1
180,ET-00181,King Bailliet,Consumer,Ennis,2,1,3,1,2,1
181,EN-00182,Kelly Braden,Corporate,An Cabhan,3,3,2,1,2,2
182,CH-00183,Bates Gockenbach,Consumer,Tralee,2,1,2,1,3,3
183,ON-00184,House Stevenson,Home Office,WexfordLongford,2,2,1,2,2,2
184,ER-00185,Day Ferrer,Home Office,Swords,2,1,1,2,3,1
185,ES-00186,Hodges Jones,Consumer,Limerick,2,2,3,1,3,3
186,ON-00187,Hatfield Trafton,Consumer,Clonmel,2,3,2,2,2,2
187,IN-00188,Barker Haberlin,Corporate,Trim,3,3,2,3,2,1
188,LS-00189,Lane Daniels,Consumer,Sligo,3,2,3,1,1,2
189,KE-00190,Holt Glocke,Corporate,An Cabhan,1,1,2,3,1,2
190,ON-00191,Spears Thornton,Corporate,Dunleary,1,3,2,2,1,2
191,EN-00192,Gardner Craven,Consumer,Carrick on Shannon,3,2,1,3,3,3
192,LY-00193,Juarez Shonely,Consumer,Dublin,2,1,3,2,1,1
193,NT-00194,Heath O'Briant,Home Office,Carlow,3,1,1,2,2,2
194,ER-00195,Day Ferrer,Home Office,Tralee,2,2,2,2,3,2
195,IN-00196,Ball Hagelstein,Corporate,Limerick,1,1,1,3,3,3
196,RE-00197,Schwartz Laware,Consumer,Galway,2,1,1,1,1,2
197,ZA-00198,Graves Garza,Home Office,Swords,3,3,2,3,2,1
198,AN-00199,Cherry Workman,Home Office,Drogheda,3,2,1,1,3,3
199,EY-00200,Sanders Bradley,Home Office,Carlow,2,1,1,1,3,2
200,RE-00201,Tanner Sayre,Consumer,Wicklow,1,1,3,3,3,3
201,CE-00202,Hunter Chance,Consumer,Dun Dealgan,2,1,3,1,3,2
202,ES-00203,Rios Jones,Consumer,Port Laoise,1,1,1,3,3,1
203,ET-00204,King Bailliet,Consumer,Mullingar,2,2,2,3,3,2
204,RF-00205,Mejia Waldorf,Corporate,Ros Comain,3,2,1,3,3,1
205,ER-00206,Estrada Kiefer,Consumer,Trim,3,3,1,1,3,3
206,LL-00207,Mcclain O'Donnell,Corporate,An Cabhan,2,3,2,1,1,3
207,LE-00208,Owens Carlisle,Consumer,Lifford,2,1,3,3,3,1
208,DS-00209,Dixon Childs,Corporate,Dublin,1,2,2,2,1,3
209,EN-00210,Mullins Hansen,Consumer,Monaghan,3,2,1,3,1,3
210,ON-00211,Alvarez Eaton,Corporate,Dunleary,1,2,2,3,2,3
211,EE-00212,Norton Magee,Corporate,Cork,3,2,2,1,3,3
212,ER-00213,Cameron Packer,Consumer,Tralee,2,1,3,3,3,3
213,IN-00214,Barker Haberlin,Corporate,Mullingar,2,1,1,2,1,1
214,LY-00215,Winters Shonely,Consumer,Carrick on Shannon,2,3,3,3,3,2
215,AN-00216,Miranda Ryan,Home Office,Naas,1,3,2,1,3,3
216,DT-00217,Serrano Schmidt,Consumer,Dunleary,2,2,1,3,1,1
217,RR-00218,Underwood Mcgarr,Home Office,Dun Dealgan,2,2,3,1,3,3
218,ON-00219,Avery Wilson,Consumer,Blackrock,3,2,3,1,2,2
219,DO-00220,Brown Airdo,Corporate,Swords,1,3,2,3,3,1
220,ON-00221,Yates Johnson,Consumer,Dunleary,2,1,1,1,3,2
221,LD-00222,Obrien Geld,Corporate,Dun Dealgan,2,2,1,3,1,2
222,AN-00223,Gay Willman,Consumer,Mullingar,3,3,2,1,2,2
223,IE-00224,Olson Currie,Home Office,Dunleary,2,3,2,3,3,2
224,LD-00225,White Armold,Consumer,Tralee,1,3,2,2,2,3
225,PO-00226,Gallagher Ocampo,Corporate,Lifford,3,2,1,2,3,1
226,LL-00227,Marshall Carroll,Consumer,Tallaght,2,1,3,3,1,3
227,AN-00228,Blevins Thurman,Consumer,Swords,2,3,2,1,3,1
228,NY-00229,Knight Company,Home Office,Ros Comain,3,1,3,3,1,2
229,TT-00230,Martinez Arnett,Corporate,Cork,2,3,3,1,2,2
230,ON-00231,Jensen Foulston,Home Office,Dublin,1,1,2,2,1,2
231,AU-00232,Shelton Gastineau,Consumer,An Cabhan,1,2,3,2,3,2
232,IR-00233,Phelps Mcnair,Corporate,Drogheda,3,1,3,3,3,2
233,SE-00234,Willis Crouse,Home Office,Tralee,1,1,3,3,3,2
234,ER-00235,Nunez Lanier,Corporate,Ennis,3,2,1,3,1,1
235,EY-00236,Ruiz Darley,Corporate,Sligo,1,1,2,2,3,2
236,ED-00237,Johns Reed,Corporate,Nenagh,2,1,2,3,1,1
237,LE-00238,Brady Lonsdale,Consumer,Waterford,1,3,2,2,3,3
238,ON-00239,Frost Tron,Consumer,Ros Comain,1,1,2,3,1,3
239,RD-00240,Wright Baird,Consumer,Dunleary,2,2,2,2,3,1
240,TT-00241,Gallegos Rosenblatt,Consumer,Castlebar,1,3,3,2,2,1
241,OK-00242,Lewis Ashbrook,Corporate,Tullamore,1,1,3,3,2,1
242,AM-00243,Watkins Cunningham,Corporate,Trim,2,3,2,1,2,3
243,CH-00244,Russell Buch,Home Office,Blackrock,1,1,1,1,3,1
244,EL-00245,Velasquez Staebel,Consumer,WexfordLongford,1,1,3,3,2,2
245,ON-00246,Huffman Nockton,Consumer,Tullamore,2,1,1,1,1,2
246,NS-00247,Armstrong Dawkins,Home Office,Port Laoise,1,3,2,2,1,2
247,EN-00248,Leonard Hallsten,Corporate,Tralee,2,3,1,1,3,3
248,IS-00249,Lester Preis,Home Office,Trim,2,2,1,1,3,2
249,IS-00250,Gilmore Norris,Home Office,Ros Comain,2,2,1,2,2,3
250,IS-00251,Gilmore Norris,Home Office,Naas,2,3,2,2,2,1
251,CK-00252,Barnett Garverick,Home Office,Nenagh,1,2,3,2,1,1
252,EY-00253,Baldwin Hawley,Consumer,Kilkenny,2,2,3,3,1,1
253,EZ-00254,Schmidt Dominguez,Consumer,Tullamore,3,1,3,1,3,2
254,RE-00255,Wong Macintyre,Consumer,Carlow,2,3,1,3,3,3
255,AN-00256,Pennington Van,Corporate,Tralee,2,1,2,2,2,2
256,LS-00257,Lane Daniels,Consumer,Mullingar,3,1,3,1,2,2
257,RI-00258,Clay Molinari,Home Office,Naas,3,1,2,1,2,2
258,EN-00259,Warren Chen,Home Office,Drogheda,1,3,3,3,1,3
259,EY-00260,Wallace Caffey,Corporate,An Cabhan,2,2,1,2,1,2
260,TY-00261,Osborne Kelty,Corporate,Dun Dealgan,1,1,3,2,3,3
261,OW-00262,Price Brandow,Consumer,Ennis,3,3,3,3,1,2
262,AN-00263,Johnson Abelman,Corporate,Dublin,3,2,2,2,1,3
263,RE-00264,Park Macintyre,Consumer,Dunleary,3,1,3,1,2,2
264,AY-00265,Wolf Murray,Corporate,Sligo,1,1,1,2,1,3
265,EY-00266,Munoz Hackney,Home Office,Nenagh,2,2,3,1,1,2
266,CH-00267,Moses Rittenbach,Consumer,Waterford,1,1,1,3,3,1
267,EN-00268,Snyder Dahlen,Consumer,Wicklow,2,3,2,1,1,2
268,AT-00269,Gilbert Farhat,Corporate,Kilkenny,3,2,2,2,2,1
269,ON-00270,Hatfield Trafton,Consumer,Clonmel,1,1,1,1,1,1
270,AN-00271,Mason Chapman,Consumer,Nenagh,2,2,2,1,3,1
271,EZ-00272,Carr Dominguez,Corporate,Nenagh,3,1,1,3,3,1
272,ON-00273,Fields Dodson,Consumer,Lifford,2,3,2,2,2,3
273,SH-00274,Bond Overcash,Consumer,Carlow,3,1,1,1,3,2
274,LT-00275,Dyer Overfelt,Consumer,An Cabhan,2,2,2,3,3,3
275,EN-00276,Schneider Hansen,Corporate,Castlebar,1,2,1,2,1,1
276,NG-00277,Garcia Armstrong,Consumer,Monaghan,1,1,1,3,3,3
277,ON-00278,Ross Braxton,Consumer,Swords,2,3,1,2,1,3
278,KS-00279,Mosley Parks,Consumer,Lifford,3,1,2,1,1,1
279,KA-00280,Deleon Pisteka,Corporate,Dun Dealgan,1,3,3,1,2,2
280,RD-00281,Beard Radford,Consumer,Ennis,3,3,1,3,3,1
281,EN-00282,Hunt Cohen,Consumer,Dun Dealgan,3,2,2,2,3,1
282,WN-00283,Butler Brown,Corporate,An Cabhan,1,3,2,1,3,2
283,EN-00284,Hale Goldenen,Consumer,An Cabhan,2,3,3,1,3,3
284,TT-00285,Nelson Barnett,Consumer,Waterford,2,1,3,1,2,1
285,ER-00286,Cameron Packer,Consumer,Nenagh,2,2,3,1,2,3
286,DY-00287,Bush Grady,Corporate,Clonmel,1,2,2,1,3,1
287,RN-00288,Hansen Eichhorn,Consumer,Nenagh,1,1,3,1,3,1
288,NT-00289,Ferguson Conant,Corporate,Wicklow,2,3,1,2,2,1
289,ON-00290,Nash Melton,Home Office,Tralee,3,3,2,1,2,2
290,IG-00291,Owen Ludwig,Corporate,Ros Comain,3,2,1,2,3,3
291,ER-00292,Holland Foster,Corporate,Carlow,3,3,2,2,2,1
292,AM-00293,Barr Sundaresam,Consumer,Limerick,1,2,3,1,3,2
293,CO-00294,Copeland Lomonaco,Corporate,Limerick,2,2,1,3,2,1
294,IN-00295,Davis Akin,Consumer,Clonmel,3,1,2,1,3,2
295,ON-00296,Barnes Braxton,Corporate,Tallaght,1,3,1,3,1,3
296,CK-00297,Rivera Black,Consumer,Tralee,1,3,2,1,3,3
297,NT-00298,Heath O'Briant,Home Office,Galway,3,3,2,2,3,2
298,ST-00299,Chan West,Home Office,Clonmel,2,2,1,3,2,3
299,AN-00300,Atkinson Ryan,Corporate,Limerick,3,1,2,3,1,2
300,NI-00301,Blanchard Vittorini,Consumer,Trim,3,1,3,3,1,2
301,ER-00302,Gray Boeckenhauer,Consumer,Clonmel,2,1,2,2,1,3
302,ER-00303,Buck Webber,Consumer,Tralee,2,1,1,3,2,1
303,RT-00304,Durham Stugart,Corporate,Kilkenny,3,1,2,3,2,2
304,LE-00305,Reynolds Carlisle,Consumer,Swords,2,3,1,3,2,3
305,EY-00306,Stone Cooley,Consumer,Dublin,1,2,1,2,1,3
306,LE-00307,Fisher Carlisle,Corporate,Tullamore,3,3,3,2,2,3
307,ON-00308,Howell Eason,Consumer,Mullingar,1,1,1,2,3,1
308,CH-00309,Johnston Ducich,Consumer,Tralee,2,1,1,2,3,3
309,LL-00310,Boone Maxwell,Corporate,Wicklow,3,2,1,3,2,2
310,CK-00311,Nicholson Murdock,Consumer,Trim,3,1,2,3,1,2
311,ON-00312,Livingston Thornton,Consumer,Naas,2,2,1,3,3,3
312,NG-00313,Brewer Flashing,Corporate,Tallaght,1,1,3,3,1,2
313,ED-00314,Johns Reed,Corporate,Naas,2,2,1,1,1,1
314,EN-00315,Wolfe Hansen,Consumer,Galway,3,2,3,2,1,1
315,MS-00316,Jones Adams,Home Office,Dun Dealgan,1,2,1,1,3,3
316,ER-00317,Golden Ritter,Consumer,Tallaght,1,3,2,1,1,1
317,TO-00318,Carter Barreto,Corporate,Ennis,3,1,3,3,2,3
318,NG-00319,Cannon Hwang,Corporate,Galway,1,3,3,1,3,1
319,ND-00320,Gross Kirkland,Corporate,Swords,3,1,3,1,3,3
320,ON-00321,Christensen Lebron,Consumer,Tralee,1,1,1,3,1,3
321,CH-00322,May Französisch,Consumer,Tallaght,3,3,3,1,2,2
322,IG-00323,Bass Ludwig,Consumer,Dun Dealgan,2,3,1,3,3,3
323,RY-00324,Wilkins Mccrary,Consumer,Cork,1,3,3,1,1,3
324,NS-00325,Hayes Burns,Consumer,Lifford,1,3,3,2,2,1
325,RN-00326,Bentley Zypern,Consumer,Galway,1,2,1,2,2,1
326,KE-00327,Frank Ludtke,Home Office,WexfordLongford,1,2,2,3,1,1
327,ER-00328,Meadows Wiener,Consumer,Dunleary,2,3,2,3,2,1
328,MS-00329,Faulkner Williams,Consumer,Tallaght,2,3,2,2,2,1
329,RG-00330,Marsh Luxemburg,Corporate,Swords,2,2,1,1,1,3
330,IE-00331,Olson Currie,Home Office,Naas,3,1,3,3,2,3
331,DD-00332,Griffin Budd,Corporate,Carlow,2,1,3,3,2,2
332,LE-00333,Brady Lonsdale,Consumer,WexfordLongford,3,1,1,3,3,3
333,MS-00334,Oneill Williams,Consumer,Drogheda,1,2,2,3,1,3
334,LL-00335,Rose Connell,Consumer,Tullamore,3,2,3,3,3,3
335,WN-00336,Simmons Brown,Corporate,Castlebar,3,2,1,1,2,2
336,EZ-00337,Schmidt Dominguez,Consumer,An Cabhan,3,1,1,1,3,1
337,ER-00338,Strong Schoenberger,Corporate,Galway,3,3,2,1,2,2
338,MS-00339,Benson Harms,Corporate,Naas,2,2,1,3,3,3
339,LE-00340,Chandler Hale,Corporate,Dunleary,2,2,3,2,1,1
340,ON-00341,Jensen Foulston,Home Office,Lifford,1,1,2,3,1,1
341,MS-00342,Oneill Williams,Consumer,Clonmel,3,2,2,3,2,2
342,RE-00343,Tanner Sayre,Consumer,Swords,1,3,1,1,3,3
343,EL-00344,Sandoval Kimmel,Consumer,Tallaght,2,1,2,2,1,2
344,LE-00345,Mcdowell Roelle,Consumer,Blackrock,2,1,2,3,2,2
345,BS-00346,Patton Jacobs,Consumer,Dublin,1,1,1,3,3,1
346,LL-00347,Rose Connell,Consumer,Carrick on Shannon,2,1,3,1,2,1
347,WN-00348,Foster Brown,Corporate,Blackrock,2,3,3,3,3,3
348,SH-00349,Bond Overcash,Consumer,Dunleary,1,3,1,3,2,2
349,LY-00350,Juarez Shonely,Consumer,Wicklow,1,1,1,3,3,2
